,Year,Season,Player,Pos,Age,Team,G,GS,MPPG,TGP_prior_seasons,TMP_current_season,TMP_prior_seasons
129,1993,regular,Doug Edwards,PF,23,Atlanta Hawks,16,0,6.7,0.0,107.2,0.0
130,1993,regular,James Edwards,C,38,Los Angeles Lakers,45,2,10.4,0.0,468.0,0.0
131,1993,regular,Kevin Edwards,SG,28,New Jersey Nets,82,82,33.3,0.0,2730.6,0.0
132,1993,regular,Craig Ehlo,SG,32,Atlanta Hawks,82,0,26.2,0.0,2148.4,0.0
133,1993,regular,Mario Elie,SF,30,Houston Rockets,67,8,24.0,0.0,1608.0,0.0
134,1993,regular,Sean Elliott,SF,25,Detroit Pistons,73,73,33.0,0.0,2409.0,0.0
135,1993,regular,Dale Ellis,SF,33,San Antonio Spurs,77,75,33.6,0.0,2587.2000000000003,0.0
136,1993,regular,Harold Ellis,SF,23,Los Angeles Clippers,49,16,18.8,0.0,921.2,0.0
137,1993,regular,LaPhonso Ellis,PF,23,Denver Nuggets,79,79,34.2,0.0,2701.8,0.0
138,1993,regular,LeRon Ellis,C,24,Charlotte Hornets,50,1,13.6,0.0,680.0,0.0
139,1993,regular,Pervis Ellison,C,26,Washington Bullets,47,24,25.1,0.0,1179.7,0.0
140,1993,regular,Jo Jo English,SG,23,Chicago Bulls,36,0,11.6,0.0,417.59999999999997,0.0
141,1993,regular,Patrick Ewing,C,31,New York Knicks,79,79,37.6,0.0,2970.4,0.0
142,1993,regular,Jim Farmer,SG,29,Denver Nuggets,4,0,7.3,0.0,29.2,0.0
143,1993,regular,Duane Ferrell,SF,28,Atlanta Hawks,72,13,16.0,0.0,1152.0,0.0
144,1993,regular,Danny Ferry,PF,27,Cleveland Cavaliers,70,1,13.8,0.0,966.0,0.0
145,1993,regular,Vern Fleming,PG,31,Indiana Pacers,55,5,19.1,0.0,1050.5,0.0
146,1993,regular,Sleepy Floyd,PG,33,San Antonio Spurs,53,2,13.9,0.0,736.7,0.0
147,1993,regular,Alphonso Ford,PG,22,Seattle Supersonics,6,0,2.7,0.0,16.200000000000003,0.0
148,1993,regular,Greg Foster,PF,25,Milwaukee Bucks,3,0,6.3,0.0,18.9,0.0
149,1993,regular,Rick Fox,SF,24,Boston Celtics,82,53,25.6,0.0,2099.2000000000003,0.0
150,1993,regular,Tellis Frank,PF,28,Minnesota Timberwolves,67,11,14.3,0.0,958.1,0.0
151,1993,regular,Corey Gaines,SG,28,New York Knicks,18,0,4.3,0.0,77.39999999999999,0.0
152,1993,regular,Chad Gallagher,C,24,Utah Jazz,2,0,1.5,0.0,3.0,0.0
153,1993,regular,Kevin Gamble,SF,28,Boston Celtics,75,28,25.1,0.0,1882.5,0.0
